condition,task,n,n_correct,accuracy,ci_lo,ci_hi
latent_mas,gsm8k,500,460,0.92,0.8928931229079627,0.9407021975260784
single_agent_latent_sampled,gsm8k,500,454,0.908,0.8794606777802376,0.9303176334985452
single_agent_latent_greedy,gsm8k,200,181,0.905,0.8563973488560237,0.9383373863501365
cot_matched,gsm8k,500,454,0.908,0.8794606777802376,0.9303176334985452
latent_mas_random_wa_spectrum,gsm8k,200,183,0.915,0.8681031145576462,0.9462547005301477
kv_blocked,gsm8k,200,179,0.895,0.8448186177864638,0.9302930375380627
no_transfer,gsm8k,500,454,0.908,0.8794606777802376,0.9303176334985452
text_mas,gsm8k,200,182,0.91,0.8622332538615105,0.9423130212854665
exp_m_identity_wa,gsm8k,100,91,0.91,0.8377362530335634,0.9519280048361151
topk_gated,gsm8k,200,186,0.93,0.8859442178331628,0.9578482170770813
latent_mas,arc_challenge,500,463,0.926,0.8996646988891734,0.945839126122497
single_agent_latent_sampled,arc_challenge,500,464,0.928,0.9019310525910869,0.9475422739464601
single_agent_latent_greedy,arc_challenge,200,185,0.925,0.8799554020266798,0.9540254929427476
cot_matched,arc_challenge,500,458,0.916,0.8884001169044927,0.9372562004777957
latent_mas_random_wa_spectrum,arc_challenge,200,184,0.92,0.8740095102048769,0.9501598448237337
kv_blocked,arc_challenge,200,178,0.89,0.8390720169908702,0.9262280983928396
no_transfer,arc_challenge,500,466,0.932,0.9064785429161282,0.9509337866731715
text_mas,arc_challenge,200,181,0.905,0.8563973488560237,0.9383373863501365
exp_m_identity_wa,arc_challenge,100,91,0.91,0.8377362530335634,0.9519280048361151
topk_gated,arc_challenge,200,181,0.905,0.8563973488560237,0.9383373863501365
latent_mas,mbppplus,378,277,0.7328042328042328,0.6860166275126556,0.7749074834275878
single_agent_latent_sampled,mbppplus,378,253,0.6693121693121693,0.6203893435421135,0.7148281916871544
single_agent_latent_greedy,mbppplus,200,131,0.655,0.5867546071792236,0.7174031309860971
cot_matched,mbppplus,378,252,0.6666666666666666,0.6176768132981988,0.7123029479431117
latent_mas_random_wa_spectrum,mbppplus,200,155,0.775,0.7122575346140798,0.8273771621308439
kv_blocked,mbppplus,200,138,0.69,0.622826945087378,0.75001157266366
no_transfer,mbppplus,378,255,0.6746031746031746,0.6258194097529741,0.7198736734522084
text_mas,mbppplus,200,178,0.89,0.8390720169908702,0.9262280983928396
exp_m_identity_wa,mbppplus,100,74,0.74,0.6462882736813838,0.8159542187301354
topk_gated,mbppplus,200,149,0.745,0.6803694869280502,0.8003959701719726
