condition,task,n,forward_passes_mean,wall_clock_ms_mean,wall_clock_ms_std,generated_tokens_mean,gpu_mem_peak_mb_mean
latent_mas,gsm8k,500,623.244,22959.746690750122,14982.954978338072,378.95,7959.794673828125
single_agent_latent_sampled,gsm8k,500,608.46,20356.730834960938,12950.78561805865,372.882,7906.43073046875
single_agent_latent_greedy,gsm8k,200,616.55,20415.61217904091,12328.482070412314,378.75,7902.302534179687
cot_matched,gsm8k,500,879.08,28707.029373168945,16441.17405559105,878.08,7915.307265625
latent_mas_random_wa_spectrum,gsm8k,200,616.095,20524.088138341904,12965.754505533732,377.28,7958.155439453125
kv_blocked,gsm8k,200,887.59,38217.29973554611,23869.360244241077,546.425,8012.1906640625
no_transfer,gsm8k,500,721.504,25988.644834518433,16350.451278531886,433.92,7929.439846679687
text_mas,gsm8k,200,0.0,87466.12648963928,33182.782706109276,0.0,8447.88197265625
exp_m_identity_wa,gsm8k,100,585.89,19925.335607528687,10694.422235208933,355.08,7952.992875976563
topk_gated,gsm8k,200,600.1,23561.564223766327,13742.304592863846,365.385,7982.730573730469
latent_mas,arc_challenge,500,550.746,18444.20013475418,9738.087743187829,403.15,7954.973329101563
single_agent_latent_sampled,arc_challenge,500,563.842,18834.8009929657,11017.631215545667,415.47,7903.032196289062
single_agent_latent_greedy,arc_challenge,200,581.14,19167.932220697403,11731.722507334736,424.585,7899.49353515625
cot_matched,arc_challenge,500,839.866,27832.901683330536,13939.754713973705,838.866,7913.326729492188
latent_mas_random_wa_spectrum,arc_challenge,200,554.865,18871.472181081772,9337.714651359043,401.24,7953.085864257812
kv_blocked,arc_challenge,200,860.805,36968.2028234005,22023.346299796438,638.95,8012.076857910156
no_transfer,arc_challenge,500,678.54,25828.4401512146,15555.159339746631,502.074,7926.368983398437
text_mas,arc_challenge,200,0.0,75687.9037797451,22293.261439541333,0.0,8441.643269042968
exp_m_identity_wa,arc_challenge,100,562.69,19035.495314598083,9924.37617999988,405.73,7956.88396484375
topk_gated,arc_challenge,200,548.71,21025.104805231094,10947.447605816498,396.265,7977.751853027344
latent_mas,mbppplus,378,1221.642857142857,44027.91783607826,22018.45819803773,775.968253968254,8102.220815507192
single_agent_latent_sampled,mbppplus,378,1293.3227513227514,43494.89134644705,20755.933196714657,826.3783068783068,8030.025552093667
single_agent_latent_greedy,mbppplus,200,1276.71,42171.38578295708,20839.849780080112,813.5,8023.569750976562
cot_matched,mbppplus,378,1391.9761904761904,46724.91141791066,19424.887928732383,1390.9761904761904,7998.253082113922
latent_mas_random_wa_spectrum,mbppplus,200,1201.32,41235.366879701614,20110.69458381145,772.75,8095.722141113281
kv_blocked,mbppplus,200,1352.575,62650.22280097008,30078.80097856217,873.485,8145.6661328125
no_transfer,mbppplus,378,1396.5132275132275,54181.81547601387,23563.997903499047,905.4867724867725,8055.220479652365
text_mas,mbppplus,200,0.0,112767.7556848526,62132.55930111725,0.0,8772.012160644532
exp_m_identity_wa,mbppplus,100,1182.62,39214.79289770126,19922.108887939496,759.62,8093.589243164062
topk_gated,mbppplus,200,1188.955,46171.93594932556,23691.84102637452,763.88,8119.319704589844
